"Priority","Category","Count","Rule","EventIDs","TopProcesses","TopParents","CommandLineExamples","TargetExamples","MITRE_ID","MITRE_Technique","NormalBehaviorHypothesis","NextCheck"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Minimum password age' is set to '1 or more day(s)'.: Status changed from failed to 'not applicable'",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\AarSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k AarSvcGroup -p","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\AarSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\BcastDVRUserService_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k BcastDVRUserService","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\BcastDVRUserService_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\CaptureService_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k LocalService -p","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\CaptureService_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Disallow copying of user input methods to the system account for sign-in' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Disable IPv6 (Ensure TCPIP6 Parameter 'DisabledComponents' is set to '0xff (255)').",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses (could lead to DoS)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prohibit access of the Windows Connect Now wizards' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Continue experiences on this device' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Registration if URL connection is referring to Microsoft.com' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Support device authentication using certificate' is set to 'Enabled: Automatic'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn On Virtualization Based Security: Select Platform Security Level' is set to 'Secure Boot and DMA Protection'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Outbound connections' is set to 'Allow (default)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow suggested apps in Windows Ink Workspace' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Always install with elevated privileges' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Disallow Digest authentication' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Cortana' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Disable all apps from Microsoft Store' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow widgets' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Remote Shell Access' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'No auto-restart with logged on users for scheduled automatic updates installations' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remove access to ""Pause updates"" feature' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","New wazuh agent connected.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Cloud Search' is set to 'Enabled: Disable Cloud Search'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Scan removable drives' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent the usage of OneDrive for file storage' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Push To Install service' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable file hash computation feature' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn on script scanning' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow users to connect remotely by using Remote Desktop Services' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Set client connection encryption level' is set to 'Enabled: High Level'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Do not delete temp folders upon exit' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prevent downloading of enclosures' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Do not allow COM port redirection' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Require secure RPC communication' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'World Wide Web Publishing Service (W3SVC)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Xbox Accessory Management Service (XboxGipSvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Xbox Live Game Save (XblGameSave)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Event Collector (Wecsvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Media Player Network Sharing Service (WMPNetworkSvc)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows PushToInstall Service (PushToInstall)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Inbound connections' is set to 'Block (default)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\privatefw.log'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\domainfw.log'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Logging: Size limit (KB)' is set to '16,384 KB or greater'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Logging: Log dropped packets' is set to 'Yes'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Web Management Service (WMSvc)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Force logoff when logon hours expire' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: LDAP client signing requirements' is set to 'Negotiate signing' or higher.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Remotely accessible registry paths' is configured.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Allow LocalSystem NULL session fallback' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Routing and Remote Access (RemoteAccess)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Simple TCP/IP Services (simptcp)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'UPnP Device Host (upnphost)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remote Access Auto Connection Manager (RasAuto)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remote Desktop Services (TermService)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Mobile Hotspot Service (icssvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Push Notifications System Service (WpnService)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Xbox Live Networking Service (XboxNetApiSvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remote Desktop Services UserMode Port Redirector (UmRdpService)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Server (LanmanServer)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Special Administration Console Helper (sacsvr)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Firewall state' is set to 'On (recommended)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Firewall state' is set to 'On (recommended)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Outbound connections' is set to 'Allow (default)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
